,longitude,latitude,month,hour,day,local_authority_(district),1st_road_class,1st_road_number,speed_limit,accident,weather_conditions,junction_detail
75,-2.2117259999999996,53.582443000000005,12,18.0,11,889,3,6045,30,0,1,3
76,0.27649,51.484483000000004,5,0.0,24,462,4,186,40,1,1,1
77,0.27649,51.484483000000004,11,16.0,5,739,4,186,40,0,1,1
78,0.27649,51.484483000000004,1,4.0,7,348,4,186,40,0,1,1
79,0.27649,51.484483000000004,8,6.0,16,369,4,186,40,0,1,1
80,-1.8187,50.785554,10,21.0,15,641,6,0,40,1,1,0
81,-1.8187,50.785554,8,6.0,26,420,6,0,40,0,1,0
82,-1.8187,50.785554,8,18.0,19,142,6,0,40,0,1,0
83,-1.8187,50.785554,6,21.0,1,728,6,0,40,0,1,0
84,-0.140192,50.836729,5,13.0,17,565,3,23,30,1,1,6
85,-0.140192,50.836729,9,5.0,19,685,3,23,30,0,1,6
86,-0.140192,50.836729,6,1.0,18,508,3,23,30,0,1,6
87,-0.140192,50.836729,8,6.0,3,659,3,23,30,0,1,6
88,-0.104593,51.507115999999996,2,8.0,16,8,3,201,30,1,1,6
89,-0.104593,51.507115999999996,2,4.0,1,558,3,201,30,0,1,6
90,-0.104593,51.507115999999996,9,21.0,19,193,3,201,30,0,1,6
91,-0.104593,51.507115999999996,8,11.0,18,114,3,201,30,0,1,6
92,-3.567048,54.526415,12,8.0,16,63,3,595,40,1,2,3
93,-3.567048,54.526415,12,4.0,10,334,3,595,40,0,2,3
94,-3.567048,54.526415,6,22.0,13,912,3,595,40,0,2,3
95,-3.567048,54.526415,2,18.0,4,301,3,595,40,0,2,3
96,-0.751571,50.815096000000004,11,8.0,18,559,4,2166,40,1,1,1
97,-0.751571,50.815096000000004,5,23.0,4,935,4,2166,40,0,1,1
98,-0.751571,50.815096000000004,6,11.0,18,925,4,2166,40,0,1,1
99,-0.751571,50.815096000000004,4,5.0,15,289,4,2166,40,0,1,1
100,0.48190900000000003,51.727061,1,19.0,29,454,3,138,30,1,1,1
101,0.48190900000000003,51.727061,12,1.0,12,753,3,138,30,0,1,1
102,0.48190900000000003,51.727061,10,3.0,23,537,3,138,30,0,1,1
103,0.48190900000000003,51.727061,10,11.0,13,272,3,138,30,0,1,1
104,-3.100462,51.603753999999995,1,12.0,13,731,3,467,60,1,1,0
105,-3.100462,51.603753999999995,12,20.0,15,870,3,467,60,0,1,0
106,-3.100462,51.603753999999995,5,18.0,6,82,3,467,60,0,1,0
107,-3.100462,51.603753999999995,8,18.0,24,393,3,467,60,0,1,0
108,-2.456541,53.075054,12,15.0,16,129,6,0,20,1,1,3
109,-2.456541,53.075054,4,9.0,18,819,6,0,20,0,1,3
110,-2.456541,53.075054,6,14.0,7,336,6,0,20,0,1,3
111,-2.456541,53.075054,1,23.0,13,268,6,0,20,0,1,3
112,-1.253929,51.740238,10,9.0,21,482,3,4144,30,1,2,3
113,-1.253929,51.740238,5,22.0,17,404,3,4144,30,0,2,3
114,-1.253929,51.740238,7,15.0,20,873,3,4144,30,0,2,3
115,-1.253929,51.740238,1,16.0,17,552,3,4144,30,0,2,3
116,-0.690599,51.411264,12,7.0,17,474,3,329,40,1,1,0
117,-0.690599,51.411264,9,1.0,21,7,3,329,40,0,1,0
118,-0.690599,51.411264,6,11.0,7,296,3,329,40,0,1,0
119,-0.690599,51.411264,9,17.0,17,490,3,329,40,0,1,0
120,0.267099,51.48623,5,20.0,16,462,3,282,70,1,1,0
121,0.267099,51.48623,2,21.0,26,251,3,282,70,0,1,0
122,0.267099,51.48623,8,5.0,24,104,3,282,70,0,1,0
123,0.267099,51.48623,1,2.0,23,641,3,282,70,0,1,0
124,0.39194,50.999365000000004,1,7.0,17,555,3,265,30,1,1,0
125,0.39194,50.999365000000004,2,2.0,4,923,3,265,30,0,1,0
126,0.39194,50.999365000000004,3,20.0,11,304,3,265,30,0,1,0
127,0.39194,50.999365000000004,4,10.0,5,334,3,265,30,0,1,0
128,-1.631251,55.06828,9,14.0,25,139,3,1068,70,1,1,3
129,-1.631251,55.06828,4,17.0,16,559,3,1068,70,0,1,3
130,-1.631251,55.06828,3,3.0,21,799,3,1068,70,0,1,3
131,-1.631251,55.06828,9,12.0,7,271,3,1068,70,0,1,3
132,-0.52974,51.573795000000004,9,13.0,28,477,3,40,40,1,1,3
133,-0.52974,51.573795000000004,12,12.0,15,872,3,40,40,0,1,3
134,-0.52974,51.573795000000004,9,23.0,2,495,3,40,40,0,1,3
135,-0.52974,51.573795000000004,10,2.0,10,21,3,40,40,0,1,3
136,-1.6538580000000003,53.237598,8,17.0,14,329,3,619,50,1,2,0
137,-1.6538580000000003,53.237598,2,17.0,16,748,3,619,50,0,2,0
138,-1.6538580000000003,53.237598,5,21.0,24,269,3,619,50,0,2,0
139,-1.6538580000000003,53.237598,12,19.0,17,610,3,619,50,0,2,0
140,-0.17518499999999998,51.700618,12,19.0,22,33,3,1000,30,1,2,3
141,-0.17518499999999998,51.700618,2,17.0,6,43,3,1000,30,0,2,3
142,-0.17518499999999998,51.700618,8,7.0,17,728,3,1000,30,0,2,3
143,-0.17518499999999998,51.700618,10,13.0,8,938,3,1000,30,0,2,3
144,-1.962486,53.17153100000001,6,11.0,24,256,3,53,60,1,1,3
145,-1.962486,53.17153100000001,11,9.0,17,312,3,53,60,0,1,3
146,-1.962486,53.17153100000001,12,14.0,22,890,3,53,60,0,1,3
147,-1.962486,53.17153100000001,12,11.0,27,217,3,53,60,0,1,3
148,-1.1597030000000002,52.662229,3,15.0,21,364,6,2342,30,1,1,8
149,-1.1597030000000002,52.662229,11,7.0,17,401,6,2342,30,0,1,8
150,-1.1597030000000002,52.662229,10,21.0,27,654,6,2342,30,0,1,8
151,-1.1597030000000002,52.662229,12,7.0,16,91,6,2342,30,0,1,8
152,-1.360514,53.39484100000001,1,16.0,31,213,6,0,30,1,1,0
153,-1.360514,53.39484100000001,4,17.0,22,308,6,0,30,0,1,0
154,-1.360514,53.39484100000001,12,4.0,21,814,6,0,30,0,1,0
155,-1.360514,53.39484100000001,2,5.0,22,558,6,0,30,0,1,0
156,-1.228273,54.55580500000001,12,12.0,19,243,5,123,30,1,1,0
157,-1.228273,54.55580500000001,1,22.0,14,72,5,123,30,0,1,0
158,-1.228273,54.55580500000001,8,16.0,6,415,5,123,30,0,1,0
159,-1.228273,54.55580500000001,4,19.0,1,32,5,123,30,0,1,0
160,-1.820459,51.553022,7,7.0,20,633,6,0,30,1,1,3
161,-1.820459,51.553022,2,17.0,12,672,6,0,30,0,1,3
162,-1.820459,51.553022,4,10.0,14,256,6,0,30,0,1,3
163,-1.820459,51.553022,5,11.0,3,932,6,0,30,0,1,3
164,0.5828949999999999,51.869008,1,17.0,31,451,3,120,70,1,2,0
165,0.5828949999999999,51.869008,11,22.0,9,703,3,120,70,0,2,0
166,0.5828949999999999,51.869008,1,7.0,2,921,3,120,70,0,2,0
167,0.5828949999999999,51.869008,10,20.0,1,653,3,120,70,0,2,0
168,-2.334618,53.517625,10,11.0,28,107,4,5231,30,1,1,0
169,-2.334618,53.517625,12,20.0,1,909,4,5231,30,0,1,0
170,-2.334618,53.517625,12,12.0,7,239,4,5231,30,0,1,0
171,-2.334618,53.517625,4,10.0,17,45,4,5231,30,0,1,0
172,-1.529668,55.003094999999995,5,14.0,22,148,6,2055,30,1,1,3
173,-1.529668,55.003094999999995,4,8.0,14,238,6,2055,30,0,1,3
174,-1.529668,55.003094999999995,3,4.0,10,230,6,2055,30,0,1,3
175,-1.529668,55.003094999999995,11,19.0,23,178,6,2055,30,0,1,3
176,-0.097898,51.439473,12,11.0,21,9,3,205,30,1,1,3
177,-0.097898,51.439473,6,6.0,4,84,3,205,30,0,1,3
178,-0.097898,51.439473,5,2.0,4,603,3,205,30,0,1,3
179,-0.097898,51.439473,11,3.0,26,85,3,205,30,0,1,3
180,-0.758789,51.223385,4,7.0,24,517,5,121,40,1,1,3
181,-0.758789,51.223385,9,12.0,26,304,5,121,40,0,1,3
182,-0.758789,51.223385,8,14.0,27,683,5,121,40,0,1,3
183,-0.758789,51.223385,4,9.0,18,436,5,121,40,0,1,3
184,-0.348125,51.400544000000004,6,8.0,23,510,4,3379,30,1,1,9
185,-0.348125,51.400544000000004,2,9.0,13,918,4,3379,30,0,1,9
186,-0.348125,51.400544000000004,6,9.0,20,221,4,3379,30,0,1,9
187,-0.348125,51.400544000000004,12,11.0,3,117,4,3379,30,0,1,9
188,0.152876,51.070747999999995,12,8.0,14,556,6,0,40,1,1,8
189,0.152876,51.070747999999995,12,20.0,15,27,6,0,40,0,1,8
190,0.152876,51.070747999999995,6,9.0,4,588,6,0,40,0,1,8
191,0.152876,51.070747999999995,2,18.0,18,564,6,0,40,0,1,8
192,-2.4192259999999997,50.710669,10,16.0,30,645,3,35,60,1,1,0
193,-2.4192259999999997,50.710669,3,16.0,23,853,3,35,60,0,1,0
194,-2.4192259999999997,50.710669,8,3.0,19,191,3,35,60,0,1,0
195,-2.4192259999999997,50.710669,5,20.0,11,100,3,35,60,0,1,0
196,-2.700072,53.76583,10,17.0,19,79,3,6,30,1,1,8
197,-2.700072,53.76583,4,16.0,8,178,3,6,30,0,1,8
198,-2.700072,53.76583,4,9.0,3,169,3,6,30,0,1,8
199,-2.700072,53.76583,9,4.0,6,689,3,6,30,0,1,8
200,-0.101634,51.495108,2,17.0,24,8,3,3,30,1,1,1
201,-0.101634,51.495108,9,14.0,25,685,3,3,30,0,1,1
202,-0.101634,51.495108,9,1.0,17,714,3,3,30,0,1,1
203,-0.101634,51.495108,7,18.0,27,805,3,3,30,0,1,1
204,-0.243544,54.08961,11,8.0,21,231,6,0,60,1,4,0
205,-0.243544,54.08961,11,18.0,8,374,6,0,60,0,4,0
206,-0.243544,54.08961,6,17.0,6,440,6,0,60,0,4,0
207,-0.243544,54.08961,5,20.0,13,22,6,0,60,0,4,0
208,-1.4527729999999999,53.373726,10,17.0,28,215,3,6135,30,1,2,3
209,-1.4527729999999999,53.373726,8,0.0,18,171,3,6135,30,0,2,3
210,-1.4527729999999999,53.373726,4,4.0,1,206,3,6135,30,0,2,3
211,-1.4527729999999999,53.373726,12,9.0,1,417,3,6135,30,0,2,3
212,-2.24797,53.478108,9,18.0,15,102,3,34,30,1,1,3
213,-2.24797,53.478108,11,14.0,20,144,3,34,30,0,1,3
214,-2.24797,53.478108,7,20.0,14,502,3,34,30,0,1,3
215,-2.24797,53.478108,3,4.0,21,562,3,34,30,0,1,3
216,-2.546733,51.459765999999995,6,12.0,23,601,3,420,30,1,1,3
217,-2.546733,51.459765999999995,8,12.0,23,584,3,420,30,0,1,3
218,-2.546733,51.459765999999995,6,0.0,8,756,3,420,30,0,1,3
219,-2.546733,51.459765999999995,10,16.0,9,331,3,420,30,0,1,3
220,-2.423884,53.531093999999996,11,7.0,18,107,3,6,30,1,2,6
221,-2.423884,53.531093999999996,3,21.0,1,49,3,6,30,0,2,6
222,-2.423884,53.531093999999996,1,3.0,21,461,3,6,30,0,2,6
223,-2.423884,53.531093999999996,9,21.0,18,691,3,6,30,0,2,6
224,-1.083982,53.959134999999996,8,20.0,22,189,6,7210,30,1,2,0
225,-1.083982,53.959134999999996,6,21.0,24,432,6,7210,30,0,2,0
226,-1.083982,53.959134999999996,3,1.0,1,810,6,7210,30,0,2,0
227,-1.083982,53.959134999999996,7,0.0,7,261,6,7210,30,0,2,0
228,-4.855783,55.237409,5,1.0,27,937,3,77,30,1,2,0
229,-4.855783,55.237409,12,22.0,2,22,3,77,30,0,2,0
230,-4.855783,55.237409,6,23.0,6,76,3,77,30,0,2,0
231,-4.855783,55.237409,6,3.0,1,843,3,77,30,0,2,0
232,-2.278061,51.820677,8,23.0,20,623,4,4008,30,1,1,0
233,-2.278061,51.820677,2,15.0,8,375,4,4008,30,0,1,0
234,-2.278061,51.820677,7,5.0,9,556,4,4008,30,0,1,0
235,-2.278061,51.820677,5,5.0,5,225,4,4008,30,0,1,0
236,-0.061176999999999995,51.531856,10,9.0,23,5,3,1208,30,1,1,6
237,-0.061176999999999995,51.531856,4,0.0,6,938,3,1208,30,0,1,6
238,-0.061176999999999995,51.531856,2,9.0,10,34,3,1208,30,0,1,6
239,-0.061176999999999995,51.531856,11,8.0,26,624,3,1208,30,0,1,6
240,-1.579516,53.776901,10,19.0,31,204,1,621,50,1,1,5
241,-1.579516,53.776901,6,6.0,22,51,1,621,50,0,1,5
242,-1.579516,53.776901,7,18.0,12,810,1,621,50,0,1,5
243,-1.579516,53.776901,11,8.0,8,937,1,621,50,0,1,5
244,1.163608,52.022501,3,20.0,22,410,4,1456,60,1,1,0
245,1.163608,52.022501,7,8.0,8,269,4,1456,60,0,1,0
246,1.163608,52.022501,9,18.0,24,734,4,1456,60,0,1,0
247,1.163608,52.022501,3,17.0,12,159,4,1456,60,0,1,0
248,-1.537454,53.811314,2,11.0,28,204,3,61,30,1,1,6
249,-1.537454,53.811314,11,14.0,6,522,3,61,30,0,1,6
250,-1.537454,53.811314,2,19.0,7,27,3,61,30,0,1,6
251,-1.537454,53.811314,7,13.0,12,691,3,61,30,0,1,6
252,-0.11878699999999999,51.512381,12,3.0,19,1,3,301,30,1,1,0
253,-0.11878699999999999,51.512381,9,14.0,20,99,3,301,30,0,1,0
254,-0.11878699999999999,51.512381,7,11.0,23,42,3,301,30,0,1,0
255,-0.11878699999999999,51.512381,10,19.0,28,334,3,301,30,0,1,0
256,0.733834,51.212742,4,15.0,24,536,1,20,70,1,1,0
257,0.733834,51.212742,2,19.0,13,400,1,20,70,0,1,0
258,0.733834,51.212742,2,8.0,13,878,1,20,70,0,1,0
259,0.733834,51.212742,10,2.0,18,396,1,20,70,0,1,0
260,-3.196369,54.135189000000004,9,10.0,13,61,6,0,30,1,1,0
261,-3.196369,54.135189000000004,4,0.0,11,473,6,0,30,0,1,0
262,-3.196369,54.135189000000004,2,2.0,6,478,6,0,30,0,1,0
263,-3.196369,54.135189000000004,5,8.0,28,425,6,0,30,0,1,0
264,-0.42127299999999995,50.83453,2,12.0,28,564,6,0,30,1,2,8
265,-0.42127299999999995,50.83453,10,10.0,5,876,6,0,30,0,2,8
266,-0.42127299999999995,50.83453,11,10.0,11,604,6,0,30,0,2,8
267,-0.42127299999999995,50.83453,8,15.0,10,217,6,0,30,0,2,8
268,-2.624606,50.907651,2,21.0,22,610,3,37,60,1,2,0
269,-2.624606,50.907651,5,20.0,14,815,3,37,60,0,2,0
270,-2.624606,50.907651,6,3.0,25,589,3,37,60,0,2,0
271,-2.624606,50.907651,9,7.0,13,824,3,37,60,0,2,0
272,-2.31835,53.640809999999995,9,11.0,15,101,5,0,30,1,1,3
273,-2.31835,53.640809999999995,6,20.0,25,599,5,0,30,0,1,3
274,-2.31835,53.640809999999995,6,20.0,7,246,5,0,30,0,1,3
275,-2.31835,53.640809999999995,3,5.0,21,940,5,0,30,0,1,3
276,-2.476632,53.579972,10,1.0,17,100,3,673,40,1,1,6
277,-2.476632,53.579972,9,10.0,23,760,3,673,40,0,1,6
278,-2.476632,53.579972,12,12.0,15,116,3,673,40,0,1,6
279,-2.476632,53.579972,8,13.0,5,126,3,673,40,0,1,6
280,-1.825806,52.347626,9,14.0,14,293,1,42,70,1,2,0
281,-1.825806,52.347626,12,10.0,25,256,1,42,70,0,2,0
282,-1.825806,52.347626,8,19.0,2,82,1,42,70,0,2,0
283,-1.825806,52.347626,3,3.0,16,582,1,42,70,0,2,0
284,-1.870888,52.509172,7,15.0,13,300,2,38,50,1,8,5
285,-1.870888,52.509172,4,10.0,12,112,2,38,50,0,8,5
286,-1.870888,52.509172,9,21.0,6,559,2,38,50,0,8,5
287,-1.870888,52.509172,1,2.0,25,861,2,38,50,0,8,5
288,-0.12557000000000001,51.508621999999995,4,14.0,25,1,3,4,30,1,1,3
289,-0.12557000000000001,51.508621999999995,3,17.0,4,355,3,4,30,0,1,3
290,-0.12557000000000001,51.508621999999995,6,7.0,9,58,3,4,30,0,1,3
291,-0.12557000000000001,51.508621999999995,12,17.0,13,594,3,4,30,0,1,3
292,-1.555479,53.810069999999996,9,13.0,23,204,3,660,30,1,2,3
293,-1.555479,53.810069999999996,8,6.0,6,891,3,660,30,0,2,3
294,-1.555479,53.810069999999996,3,2.0,9,316,3,660,30,0,2,3
295,-1.555479,53.810069999999996,1,11.0,26,9,3,660,30,0,2,3
296,-1.6512799999999999,52.59479,9,16.0,15,290,6,0,60,1,1,3
297,-1.6512799999999999,52.59479,6,1.0,19,316,6,0,60,0,1,3
298,-1.6512799999999999,52.59479,10,14.0,20,298,6,0,60,0,1,3
299,-1.6512799999999999,52.59479,1,19.0,21,925,6,0,60,0,1,3
300,-3.165309,56.098811,4,11.0,18,925,6,0,20,1,1,3
301,-3.165309,56.098811,4,12.0,12,392,6,0,20,0,1,3
302,-3.165309,56.098811,12,14.0,28,657,6,0,20,0,1,3
303,-3.165309,56.098811,6,13.0,7,402,6,0,20,0,1,3
304,-1.243076,53.015139000000005,10,19.0,31,342,1,1,70,1,1,0
305,-1.243076,53.015139000000005,3,18.0,1,552,1,1,70,0,1,0
306,-1.243076,53.015139000000005,2,16.0,22,492,1,1,70,0,1,0
307,-1.243076,53.015139000000005,2,9.0,2,831,1,1,70,0,1,0
308,-0.10293900000000002,51.623182,9,12.0,21,32,3,111,30,1,2,8
309,-0.10293900000000002,51.623182,5,11.0,11,909,3,111,30,0,2,8
310,-0.10293900000000002,51.623182,11,2.0,9,55,3,111,30,0,2,8
311,-0.10293900000000002,51.623182,8,12.0,2,353,3,111,30,0,2,8
312,-2.5880959999999997,51.459413,5,0.0,24,601,3,4044,30,1,1,3
313,-2.5880959999999997,51.459413,5,17.0,10,582,3,4044,30,0,1,3
314,-2.5880959999999997,51.459413,4,14.0,26,160,3,4044,30,0,1,3
315,-2.5880959999999997,51.459413,12,6.0,23,618,3,4044,30,0,1,3
316,-0.253764,51.589284,4,22.0,28,30,3,5,30,1,1,5
317,-0.253764,51.589284,11,21.0,17,122,3,5,30,0,1,5
318,-0.253764,51.589284,12,17.0,24,758,3,5,30,0,1,5
319,-0.253764,51.589284,6,8.0,4,73,3,5,30,0,1,5
320,-0.188195,51.422919,10,7.0,30,22,3,218,30,1,1,0
321,-0.188195,51.422919,12,7.0,24,567,3,218,30,0,1,0
322,-0.188195,51.422919,4,20.0,22,436,3,218,30,0,1,0
323,-0.188195,51.422919,11,11.0,3,533,3,218,30,0,1,0
324,-0.5160239999999999,51.39387,6,15.0,29,514,3,320,30,1,1,0
325,-0.5160239999999999,51.39387,6,18.0,18,811,3,320,30,0,1,0
326,-0.5160239999999999,51.39387,12,15.0,26,241,3,320,30,0,1,0
327,-0.5160239999999999,51.39387,10,0.0,22,798,3,320,30,0,1,0
328,-1.686837,52.148716,11,7.0,26,293,3,3400,50,1,1,0
329,-1.686837,52.148716,9,12.0,13,291,3,3400,50,0,1,0
330,-1.686837,52.148716,1,19.0,7,137,3,3400,50,0,1,0
331,-1.686837,52.148716,8,13.0,19,273,3,3400,50,0,1,0
332,-0.372761,52.771778000000005,5,17.0,19,355,6,0,30,1,1,9
333,-0.372761,52.771778000000005,5,2.0,6,937,6,0,30,0,1,9
334,-0.372761,52.771778000000005,11,14.0,21,765,6,0,30,0,1,9
335,-0.372761,52.771778000000005,6,8.0,26,381,6,0,30,0,1,9
336,-3.1474759999999997,56.133741,4,13.0,23,925,4,981,40,1,1,1
337,-3.1474759999999997,56.133741,11,1.0,10,594,4,981,40,0,1,1
338,-3.1474759999999997,56.133741,10,22.0,22,772,4,981,40,0,1,1
339,-3.1474759999999997,56.133741,3,5.0,21,544,4,981,40,0,1,1
340,0.8908709999999999,52.354278,10,12.0,29,414,4,1111,30,1,1,3
341,0.8908709999999999,52.354278,7,21.0,12,524,4,1111,30,0,1,3
342,0.8908709999999999,52.354278,11,15.0,14,811,4,1111,30,0,1,3
343,0.8908709999999999,52.354278,10,21.0,8,33,4,1111,30,0,1,3
344,-3.9472660000000004,50.803366,2,8.0,18,589,6,0,60,1,1,6
345,-3.9472660000000004,50.803366,5,0.0,2,628,6,0,60,0,1,6
346,-3.9472660000000004,50.803366,2,6.0,9,618,6,0,60,0,1,6
347,-3.9472660000000004,50.803366,9,12.0,16,633,6,0,60,0,1,6
348,0.458128,50.855705,7,15.0,13,555,6,0,30,1,1,8
349,0.458128,50.855705,5,17.0,5,523,6,0,30,0,1,8
350,0.458128,50.855705,3,23.0,8,861,6,0,30,0,1,8
351,0.458128,50.855705,8,19.0,10,472,6,0,30,0,1,8
352,-0.057579,51.511383,6,12.0,16,5,6,0,30,1,1,0
353,-0.057579,51.511383,8,7.0,8,483,6,0,30,0,1,0
354,-0.057579,51.511383,7,8.0,15,296,6,0,30,0,1,0
355,-0.057579,51.511383,6,4.0,11,918,6,0,30,0,1,0
356,-2.174391,53.392396999999995,5,18.0,30,109,6,0,30,1,1,6
357,-2.174391,53.392396999999995,9,18.0,27,34,6,0,30,0,1,6
358,-2.174391,53.392396999999995,9,18.0,11,208,6,0,30,0,1,6
359,-2.174391,53.392396999999995,3,10.0,21,473,6,0,30,0,1,6
360,-3.9476169999999997,56.091418000000004,7,13.0,14,939,1,9,70,1,1,0
361,-3.9476169999999997,56.091418000000004,6,7.0,9,397,1,9,70,0,1,0
362,-3.9476169999999997,56.091418000000004,9,13.0,2,538,1,9,70,0,1,0
363,-3.9476169999999997,56.091418000000004,7,16.0,5,116,1,9,70,0,1,0
364,0.14110899999999998,51.580945,8,13.0,22,16,3,1112,30,1,1,5
365,0.14110899999999998,51.580945,5,16.0,22,154,3,1112,30,0,1,5
366,0.14110899999999998,51.580945,12,19.0,20,846,3,1112,30,0,1,5
367,0.14110899999999998,51.580945,12,6.0,22,359,3,1112,30,0,1,5
368,0.16583599999999998,51.600096,12,17.0,29,15,4,1459,30,1,1,0
369,0.16583599999999998,51.600096,10,4.0,5,613,4,1459,30,0,1,0
370,0.16583599999999998,51.600096,10,4.0,3,394,4,1459,30,0,1,0
371,0.16583599999999998,51.600096,12,20.0,24,764,4,1459,30,0,1,0
